County,Total_population,Total_male,Total_female,Median_age
"Ada County, Idaho",435117,217999,217118,36.4
"Adams County, Idaho",3946,2021,1925,52.8
"Bannock County, Idaho",84113,41867,42246,33.2
"Bear Lake County, Idaho",5942,2928,3014,39.3
"Benewah County, Idaho",9050,4568,4482,46.5
"Bingham County, Idaho",45369,22732,22637,33.3
"Blaine County, Idaho",21583,11040,10543,42.8
"Boise County, Idaho",6968,3678,3290,53.2
"Bonner County, Idaho",41855,20980,20875,47.7
"Bonneville County, Idaho",110404,55082,55322,32.6
"Boundary County, Idaho",11323,5655,5668,43.7
"Butte County, Idaho",2613,1350,1263,46.4
"Camas County, Idaho",886,443,443,47
"Canyon County, Idaho",207027,102480,104547,33.2
"Caribou County, Idaho",6862,3483,3379,36.9
"Cassia County, Idaho",23472,11966,11506,31.8
"Clark County, Idaho",1055,566,489,29.7
"Clearwater County, Idaho",8533,4742,3791,50.3
"Custer County, Idaho",4141,2164,1977,53.4
"Elmore County, Idaho",26232,13651,12581,31.4
"Franklin County, Idaho",13120,6686,6434,32.6
"Fremont County, Idaho",12889,6685,6204,36.7
"Gem County, Idaho",16850,8331,8519,45.2
"Gooding County, Idaho",15110,7737,7373,37.3
"Idaho County, Idaho",16275,8509,7766,49.5
"Jefferson County, Idaho",27410,13911,13499,31.3
"Jerome County, Idaho",23039,11619,11420,32.6
"Kootenai County, Idaho",150128,74161,75967,39.7
"Latah County, Idaho",38697,19813,18884,28.3
"Lemhi County, Idaho",7755,3906,3849,52.9
"Lewis County, Idaho",3824,1918,1906,48.1
"Lincoln County, Idaho",5296,2735,2561,33.1
"Madison County, Idaho",38241,19272,18969,23.5
"Minidoka County, Idaho",20448,10304,10144,35.4
"Nez Perce County, Idaho",40014,19811,20203,41.3
"Oneida County, Idaho",4284,2136,2148,39.5
"Owyhee County, Idaho",11384,5817,5567,38.6
"Payette County, Idaho",22839,11451,11388,38.8
"Power County, Idaho",7667,3951,3716,34.8
"Shoshone County, Idaho",12490,6245,6245,47.2
"Teton County, Idaho",10776,5692,5084,36.4
"Twin Falls County, Idaho",82248,40454,41794,34.6
"Valley County, Idaho",10104,5148,4956,50.2
"Washington County, Idaho",9996,4940,5056,46.1
