"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","PRODUCERS","PRODUCERS - PERSONS IN HOUSEHOLD, MEASURED IN PERSONS","TOTAL","NOT SPECIFIED","2,617","40.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BEAR LAKE","007","","","00000000","","PRODUCERS","PRODUCERS - PERSONS IN HOUSEHOLD, MEASURED IN PERSONS","TOTAL","NOT SPECIFIED","1,510","40.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BINGHAM","011","","","00000000","","PRODUCERS","PRODUCERS - PERSONS IN HOUSEHOLD, MEASURED IN PERSONS","TOTAL","NOT SPECIFIED","4,976","40.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BONNEVILLE","019","","","00000000","","PRODUCERS","PRODUCERS - PERSONS IN HOUSEHOLD, MEASURED IN PERSONS","TOTAL","NOT SPECIFIED","3,970","40.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BUTTE","023","","","00000000","","PRODUCERS","PRODUCERS - PERSONS IN HOUSEHOLD, MEASURED IN PERSONS","TOTAL","NOT SPECIFIED","726","40.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","CARIBOU","029","","","00000000","","PRODUCERS","PRODUCERS - PERSONS IN HOUSEHOLD, MEASURED IN PERSONS","TOTAL","NOT SPECIFIED","1,677","40.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","CLARK","033","","","00000000","","PRODUCERS","PRODUCERS - PERSONS IN HOUSEHOLD, MEASURED IN PERSONS","TOTAL","NOT SPECIFIED","275","40.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","CUSTER","037","","","00000000","","PRODUCERS","PRODUCERS - PERSONS IN HOUSEHOLD, MEASURED IN PERSONS","TOTAL","NOT SPECIFIED","831","40.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","FRANKLIN","041","","","00000000","","PRODUCERS","PRODUCERS - PERSONS IN HOUSEHOLD, MEASURED IN PERSONS","TOTAL","NOT SPECIFIED","3,560","40.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","FREMONT","043","","","00000000","","PRODUCERS","PRODUCERS - PERSONS IN HOUSEHOLD, MEASURED IN PERSONS","TOTAL","NOT SPECIFIED","2,031","40.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","JEFFERSON","051","","","00000000","","PRODUCERS","PRODUCERS - PERSONS IN HOUSEHOLD, MEASURED IN PERSONS","TOTAL","NOT SPECIFIED","2,986","40.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","LEMHI","059","","","00000000","","PRODUCERS","PRODUCERS - PERSONS IN HOUSEHOLD, MEASURED IN PERSONS","TOTAL","NOT SPECIFIED","1,145","40.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","MADISON","065","","","00000000","","PRODUCERS","PRODUCERS - PERSONS IN HOUSEHOLD, MEASURED IN PERSONS","TOTAL","NOT SPECIFIED","2,119","40.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","ONEIDA","071","","","00000000","","PRODUCERS","PRODUCERS - PERSONS IN HOUSEHOLD, MEASURED IN PERSONS","TOTAL","NOT SPECIFIED","1,645","40.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","POWER","077","","","00000000","","PRODUCERS","PRODUCERS - PERSONS IN HOUSEHOLD, MEASURED IN PERSONS","TOTAL","NOT SPECIFIED","1,286","40.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","TETON","081","","","00000000","","PRODUCERS","PRODUCERS - PERSONS IN HOUSEHOLD, MEASURED IN PERSONS","TOTAL","NOT SPECIFIED","1,070","40.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","BENEWAH","009","","","00000000","","PRODUCERS","PRODUCERS - PERSONS IN HOUSEHOLD, MEASURED IN PERSONS","TOTAL","NOT SPECIFIED","941","40.7"
