"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","APPLES","APPLES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","APPLES","APPLES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","5","72.1"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","APRICOTS","APRICOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","APRICOTS","APRICOTS - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","1","99.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","ASPARAGUS","ASPARAGUS - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","ASPARAGUS","ASPARAGUS - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","1","91.0"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","ASPARAGUS","ASPARAGUS, FRESH MARKET - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","ASPARAGUS","ASPARAGUS, FRESH MARKET - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","1","91.0"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","BARLEY","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","6,553","17.9"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","BARLEY","BARLEY - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","38","33.5"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","BARLEY","BARLEY, IRRIGATED - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,812","20.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","BARLEY","BARLEY, IRRIGATED - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","21","34.2"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","BEANS","BEANS, SNAP - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","BEANS","BEANS, SNAP - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","2","75.0"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","BEANS","BEANS, SNAP, FRESH MARKET - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","BEANS","BEANS, SNAP, FRESH MARKET - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","2","71.2"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","BEETS","BEETS - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","BEETS","BEETS - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","1","78.0"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","BEETS","BEETS, FRESH MARKET - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","BEETS","BEETS, FRESH MARKET - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","1","78.5"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","1","(H)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","BROCCOLI","BROCCOLI - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","BROCCOLI","BROCCOLI - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","1","80.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","BROCCOLI","BROCCOLI, FRESH MARKET - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","BROCCOLI","BROCCOLI, FRESH MARKET - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","1","80.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","CABBAGE","CABBAGE, HEAD - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","CABBAGE","CABBAGE, HEAD - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","1","71.5"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","CABBAGE","CABBAGE, HEAD, FRESH MARKET - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","CABBAGE","CABBAGE, HEAD, FRESH MARKET - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","1","71.5"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","CARROTS","CARROTS - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","CARROTS","CARROTS - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","2","84.1"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","CARROTS","CARROTS, FRESH MARKET - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","CARROTS","CARROTS, FRESH MARKET - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","2","84.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","CELERY","CELERY - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","CELERY","CELERY - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","1","(H)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","CELERY","CELERY, FRESH MARKET - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","CELERY","CELERY, FRESH MARKET - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","1","(H)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","CHERRIES","CHERRIES, SWEET - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","CHERRIES","CHERRIES, SWEET - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","1","98.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","2","27.4"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","2","27.4"
