"","Program","Year","Period","Week.Ending","Geo.Level","State","State.ANSI","Ag.District","Ag.District.Code","County","County.ANSI","Zip.Code","Region","watershed_code","Watershed","Commodity","Data.Item","Domain","Domain.Category","Value","CV...."
"1","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BANNOCK",5,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","37",60
"2","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BANNOCK",5,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","215",41.1
"3","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BANNOCK",5,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","178",27.1
"4","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BANNOCK",5,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","41",52.8
"5","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BANNOCK",5,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","36",56.5
"6","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BANNOCK",5,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","17",63.8
"7","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BANNOCK",5,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","31",27.1
"8","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BANNOCK",5,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","17",58.1
"9","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BANNOCK",5,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","80",35.9
"10","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BANNOCK",5,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)","25",89.7
"11","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BANNOCK",5,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","51",40
"12","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BANNOCK",5,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","29",53
"13","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BANNOCK",5,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TENURE","TENURE: (FULL OWNER)","593",22
"14","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BANNOCK",5,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TENURE","TENURE: (PART OWNER)","123",41.3
"15","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BANNOCK",5,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TENURE","TENURE: (TENANT)","41",56.7
"16","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BANNOCK",5,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","757",20
"17","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BEAR LAKE",7,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","15",60
"18","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BEAR LAKE",7,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","25",41.1
"19","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BEAR LAKE",7,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","77",27.1
"20","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BEAR LAKE",7,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","38",52.8
"21","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BEAR LAKE",7,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","20",56.5
"22","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BEAR LAKE",7,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","11",63.8
"23","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BEAR LAKE",7,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","42",27.1
"24","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BEAR LAKE",7,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","14",58.1
"25","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BEAR LAKE",7,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","48",35.9
"26","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BEAR LAKE",7,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)","13",89.7
"27","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BEAR LAKE",7,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","54",40
"28","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BEAR LAKE",7,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","38",53
"29","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BEAR LAKE",7,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TENURE","TENURE: (FULL OWNER)","256",22
"30","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BEAR LAKE",7,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TENURE","TENURE: (PART OWNER)","121",41.3
"31","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BEAR LAKE",7,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TENURE","TENURE: (TENANT)","18",56.7
"32","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BEAR LAKE",7,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","395",20
"33","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BINGHAM",11,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","71",60
