"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","PRODUCERS","PRODUCERS, (ALL) - NUMBER OF PRODUCERS","TOTAL","NOT SPECIFIED","1,340","30.0"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","PRODUCERS","PRODUCERS, (ALL), FEMALE - NUMBER OF PRODUCERS","TOTAL","NOT SPECIFIED","492","36.1"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","PRODUCERS","PRODUCERS, (ALL), MALE - NUMBER OF PRODUCERS","TOTAL","NOT SPECIFIED","848","28.0"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","PRODUCERS","PRODUCERS, AMERICAN INDIAN OR ALASKA NATIVE - NUMBER OF PRODUCERS","TOTAL","NOT SPECIFIED","21","(H)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","PRODUCERS","PRODUCERS, HISPANIC - NUMBER OF PRODUCERS","TOTAL","NOT SPECIFIED","46","95.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","PRODUCERS","PRODUCERS, MULTI-RACE - NUMBER OF PRODUCERS","TOTAL","NOT SPECIFIED","2","95.4"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","PRODUCERS","PRODUCERS, NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER - NUMBER OF PRODUCERS","TOTAL","NOT SPECIFIED","5","(H)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","PRODUCERS","PRODUCERS, WHITE - NUMBER OF PRODUCERS","TOTAL","NOT SPECIFIED","1,302","26.9"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BEAR LAKE","007","","","00000000","","PRODUCERS","PRODUCERS, (ALL) - NUMBER OF PRODUCERS","TOTAL","NOT SPECIFIED","667","30.0"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BEAR LAKE","007","","","00000000","","PRODUCERS","PRODUCERS, (ALL), FEMALE - NUMBER OF PRODUCERS","TOTAL","NOT SPECIFIED","211","36.1"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BEAR LAKE","007","","","00000000","","PRODUCERS","PRODUCERS, (ALL), MALE - NUMBER OF PRODUCERS","TOTAL","NOT SPECIFIED","456","28.0"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BEAR LAKE","007","","","00000000","","PRODUCERS","PRODUCERS, AMERICAN INDIAN OR ALASKA NATIVE - NUMBER OF PRODUCERS","TOTAL","NOT SPECIFIED","1","(H)"
