"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","181,486","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","123,998","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","711,989","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BEAR LAKE","007","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","108,279","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BEAR LAKE","007","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","194,812","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BEAR LAKE","007","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","624,466","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BINGHAM","011","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","397,718","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BINGHAM","011","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","520,225","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BINGHAM","011","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","1,340,025","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BONNEVILLE","019","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","260,589","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BONNEVILLE","019","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","150,489","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BONNEVILLE","019","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","1,194,230","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BUTTE","023","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","78,610","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BUTTE","023","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","46,269","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BUTTE","023","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","1,431,361","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","CARIBOU","029","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","217,111","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","CARIBOU","029","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","135,727","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","CARIBOU","029","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","1,129,084","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","CLARK","033","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","40,726","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","CLARK","033","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","106,834","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","CLARK","033","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","1,128,413","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","CUSTER","037","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","49,688","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","CUSTER","037","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","95,574","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","CUSTER","037","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","3,150,149","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","FRANKLIN","041","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","132,085","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","FRANKLIN","041","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","83,967","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","FRANKLIN","041","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","424,332","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","FREMONT","043","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","171,002","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","FREMONT","043","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","100,178","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","FREMONT","043","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","1,192,934","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","JEFFERSON","051","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","228,278","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","JEFFERSON","051","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","107,352","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","JEFFERSON","051","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","699,955","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","LEMHI","059","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","46,419","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","LEMHI","059","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","127,268","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","LEMHI","059","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","2,920,799","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","MADISON","065","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","159,995","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","MADISON","065","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","31,954","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","MADISON","065","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","300,331","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","ONEIDA","071","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","151,329","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","ONEIDA","071","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","165,657","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","ONEIDA","071","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","767,329","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","POWER","077","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","381,427","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","POWER","077","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","92,711","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","POWER","077","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","898,445","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","TETON","081","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","84,385","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","TETON","081","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","23,728","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","TETON","081","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","287,418","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","BENEWAH","009","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","82,097","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","BENEWAH","009","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","6,797","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","BENEWAH","009","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","497,194","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","BONNER","017","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","32,849","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","BONNER","017","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","26,146","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","BONNER","017","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","1,109,123","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","BOUNDARY","021","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","44,491","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","BOUNDARY","021","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","13,230","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","BOUNDARY","021","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","811,986","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","CLEARWATER","035","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","24,789","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","CLEARWATER","035","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","18,337","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","CLEARWATER","035","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","1,572,678","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","IDAHO","049","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","180,642","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","IDAHO","049","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","352,292","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","IDAHO","049","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","5,425,594","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","KOOTENAI","055","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","62,242","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","KOOTENAI","055","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","24,727","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","KOOTENAI","055","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","792,036","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","LATAH","057","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","254,711","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","LATAH","057","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","68,964","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","LATAH","057","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","688,555","(L)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","LEWIS","061","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","151,108","18.6"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","LEWIS","061","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","41,987","30.7"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","LEWIS","061","","","00000000","","LAND AREA","LAND AREA, INCL NON-AG - ACRES","TOTAL","NOT SPECIFIED","306,445","(L)"
