Table with column headers in rows 2 through 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
016,001,001,005,Idaho,Ada County,Alabama,Barbour County,0,28,5,7,-5,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,
016,001,001,025,Idaho,Ada County,Alabama,Clarke County,0,28,7,10,-7,10,7,10,,,,,,,,,,,,,,,,,,,,,,,,
016,001,001,073,Idaho,Ada County,Alabama,Jefferson County,0,28,12,18,-12,18,12,18,,,,,,,,,,,,,,,,,,,,,,,,
016,001,001,095,Idaho,Ada County,Alabama,Marshall County,0,28,32,55,-32,55,32,55,,,,,,,,,,,,,,,,,,,,,,,,
016,001,001,123,Idaho,Ada County,Alabama,Tallapoosa County,0,28,26,29,-26,29,26,29,,,,,,,,,,,,,,,,,,,,,,,,
016,001,002,020,Idaho,Ada County,Alaska,Anchorage Municipality,116,109,41,45,75,120,157,115,,,,,,,,,,,,,,,,,,,,,,,,
016,001,002,070,Idaho,Ada County,Alaska,Dillingham Census Area,0,28,4,8,-4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
016,001,002,090,Idaho,Ada County,Alaska,Fairbanks North Star Borough,0,28,35,35,-35,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,
016,001,002,100,Idaho,Ada County,Alaska,Haines Borough,18,30,0,9,18,30,18,30,,,,,,,,,,,,,,,,,,,,,,,,
016,001,002,110,Idaho,Ada County,Alaska,Juneau City and Borough,40,67,37,35,3,75,77,75,,,,,,,,,,,,,,,,,,,,,,,,
016,001,002,122,Idaho,Ada County,Alaska,Kenai Peninsula Borough,73,61,10,15,63,60,83,65,,,,,,,,,,,,,,,,,,,,,,,,
016,001,002,170,Idaho,Ada County,Alaska,Matanuska-Susitna Borough,34,58,0,20,34,58,34,58,,,,,,,,,,,,,,,,,,,,,,,,
016,001,002,220,Idaho,Ada County,Alaska,Sitka City and Borough,31,36,15,19,16,42,46,40,,,,,,,,,,,,,,,,,,,,,,,,
016,001,002,261,Idaho,Ada County,Alaska,Valdez-Cordova Census Area,63,54,0,12,63,54,63,54,,,,,,,,,,,,,,,,,,,,,,,,
016,001,002,282,Idaho,Ada County,Alaska,Yakutat City and Borough,0,28,9,10,-9,10,9,10,,,,,,,,,,,,,,,,,,,,,,,,
016,001,004,003,Idaho,Ada County,Arizona,Cochise County,125,204,35,33,90,207,160,205,,,,,,,,,,,,,,,,,,,,,,,,
016,001,004,005,Idaho,Ada County,Arizona,Coconino County,71,57,27,33,44,68,98,63,,,,,,,,,,,,,,,,,,,,,,,,
016,001,004,012,Idaho,Ada County,Arizona,La Paz County,0,28,4,12,-4,12,4,12,,,,,,,,,,,,,,,,,,,,,,,,
016,001,004,013,Idaho,Ada County,Arizona,Maricopa County,419,169,308,147,111,247,727,200,,,,,,,,,,,,,,,,,,,,,,,,
016,001,004,015,Idaho,Ada County,Arizona,Mohave County,0,28,35,40,-35,40,35,40,,,,,,,,,,,,,,,,,,,,,,,,
016,001,004,017,Idaho,Ada County,Arizona,Navajo County,0,28,23,37,-23,37,23,37,,,,,,,,,,,,,,,,,,,,,,,,
016,001,004,019,Idaho,Ada County,Arizona,Pima County,49,48,53,48,-4,62,102,73,,,,,,,,,,,,,,,,,,,,,,,,
016,001,004,021,Idaho,Ada County,Arizona,Pinal County,12,20,20,21,-8,30,32,29,,,,,,,,,,,,,,,,,,,,,,,,
016,001,004,025,Idaho,Ada County,Arizona,Yavapai County,37,41,48,80,-11,88,85,91,,,,,,,,,,,,,,,,,,,,,,,,
016,001,004,027,Idaho,Ada County,Arizona,Yuma County,0,28,27,29,-27,29,27,29,,,,,,,,,,,,,,,,,,,,,,,,
016,001,005,009,Idaho,Ada County,Arkansas,Boone County,303,453,0,24,303,453,303,453,,,,,,,,,,,,,,,,,,,,,,,,
016,001,005,045,Idaho,Ada County,Arkansas,Faulkner County,22,36,0,27,22,36,22,36,,,,,,,,,,,,,,,,,,,,,,,,
016,001,005,123,Idaho,Ada County,Arkansas,St. Francis County,5,13,0,21,5,13,5,13,,,,,,,,,,,,,,,,,,,,,,,,
016,001,005,141,Idaho,Ada County,Arkansas,Van Buren County,18,30,0,18,18,30,18,30,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,001,Idaho,Ada County,California,Alameda County,218,177,157,95,61,207,375,194,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,007,Idaho,Ada County,California,Butte County,67,55,118,156,-51,164,185,168,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,009,Idaho,Ada County,California,Calaveras County,87,135,0,26,87,135,87,135,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,013,Idaho,Ada County,California,Contra Costa County,243,191,45,70,198,191,288,216,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,017,Idaho,Ada County,California,El Dorado County,8,11,1,3,7,11,9,11,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,019,Idaho,Ada County,California,Fresno County,169,146,0,29,169,146,169,146,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,023,Idaho,Ada County,California,Humboldt County,13,22,24,21,-11,28,37,33,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,025,Idaho,Ada County,California,Imperial County,18,29,0,29,18,29,18,29,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,029,Idaho,Ada County,California,Kern County,0,28,29,37,-29,37,29,37,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,037,Idaho,Ada County,California,Los Angeles County,579,358,110,90,469,373,689,366,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,041,Idaho,Ada County,California,Marin County,45,71,0,29,45,71,45,71,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,053,Idaho,Ada County,California,Monterey County,24,37,17,20,7,42,41,42,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,055,Idaho,Ada County,California,Napa County,82,133,2,4,80,133,84,133,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,059,Idaho,Ada County,California,Orange County,624,303,38,45,586,307,662,305,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,061,Idaho,Ada County,California,Placer County,147,205,33,31,114,207,180,209,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,065,Idaho,Ada County,California,Riverside County,532,400,53,57,479,409,585,399,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,067,Idaho,Ada County,California,Sacramento County,355,291,35,35,320,297,390,289,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,071,Idaho,Ada County,California,San Bernardino County,371,259,0,29,371,259,371,259,,,,,,,,,,,,,,,,,,,,,,,,
016,001,006,073,Idaho,Ada County,California,San Diego County,782,510,222,129,560,501,"1,004",550,,,,,,,,,,,,,,,,,,,,,,,,
