GEOID,NAME,variable,estimate,moe
16001,"Ada County, Idaho",C24030_001,214984,1957
16001,"Ada County, Idaho",C24030_002,114915,1533
16001,"Ada County, Idaho",C24030_003,2474,559
16001,"Ada County, Idaho",C24030_004,1518,356
16001,"Ada County, Idaho",C24030_005,956,484
16001,"Ada County, Idaho",C24030_006,11006,984
16001,"Ada County, Idaho",C24030_007,14091,847
16001,"Ada County, Idaho",C24030_008,4290,566
16001,"Ada County, Idaho",C24030_009,14793,1047
16001,"Ada County, Idaho",C24030_010,7417,926
16001,"Ada County, Idaho",C24030_011,5495,774
16001,"Ada County, Idaho",C24030_012,1922,425
16001,"Ada County, Idaho",C24030_013,2903,523
16001,"Ada County, Idaho",C24030_014,7153,804
16001,"Ada County, Idaho",C24030_015,4522,670
16001,"Ada County, Idaho",C24030_016,2631,425
16001,"Ada County, Idaho",C24030_017,16061,1161
16001,"Ada County, Idaho",C24030_018,10019,851
16001,"Ada County, Idaho",C24030_019,65,51
16001,"Ada County, Idaho",C24030_020,5977,778
16001,"Ada County, Idaho",C24030_021,13873,1020
16001,"Ada County, Idaho",C24030_022,5916,737
16001,"Ada County, Idaho",C24030_023,7957,729
16001,"Ada County, Idaho",C24030_024,8687,752
16001,"Ada County, Idaho",C24030_025,2139,384
16001,"Ada County, Idaho",C24030_026,6548,652
16001,"Ada County, Idaho",C24030_027,3987,581
16001,"Ada County, Idaho",C24030_028,8180,830
16001,"Ada County, Idaho",C24030_029,100069,1510
16001,"Ada County, Idaho",C24030_030,646,286
16001,"Ada County, Idaho",C24030_031,573,260
16001,"Ada County, Idaho",C24030_032,73,121
16001,"Ada County, Idaho",C24030_033,1495,333
16001,"Ada County, Idaho",C24030_034,4746,522
16001,"Ada County, Idaho",C24030_035,1631,336
16001,"Ada County, Idaho",C24030_036,11084,821
16001,"Ada County, Idaho",C24030_037,1865,416
16001,"Ada County, Idaho",C24030_038,1293,329
16001,"Ada County, Idaho",C24030_039,572,210
16001,"Ada County, Idaho",C24030_040,1980,358
16001,"Ada County, Idaho",C24030_041,8174,872
16001,"Ada County, Idaho",C24030_042,5784,779
16001,"Ada County, Idaho",C24030_043,2390,407
16001,"Ada County, Idaho",C24030_044,10965,838
16001,"Ada County, Idaho",C24030_045,7207,687
16001,"Ada County, Idaho",C24030_046,120,66
16001,"Ada County, Idaho",C24030_047,3638,513
16001,"Ada County, Idaho",C24030_048,36101,1355
