"","Current Residence State Code","Current Residence FIPS County Code","Residence 1 Year Ago State/U.S. Island Area/Foreign Region Code","Residence 1 Year Ago FIPS County Code","State of Current Residence","County of Current Residence","County of Current Residence_Population 1 Year and Over_Estimate","County of Current Residence_Population 1 Year and Over_MOE","County of Current Residence_Nonmovers_Estimate","County of Current Residence_Nonmovers_MOE","County of Current Residence_Movers within United States_Estimate","County of Current Residence_Movers within United States_MOE","County of Current Residence_Movers within Same County_Estimate","County of Current Residence_Movers within Same County_MOE","County of Current Residence_Movers from Different County, Same State_Estimate","County of Current Residence_Movers from Different County, Same State_MOE","County of Current Residence_Movers from Different State_Estimate","County of Current Residence_Movers from Different State_MOE","County of Current Residence_Movers from Abroad1_Estimate","County of Current Residence_Movers from Abroad1_MOE","State/U.S. Island Area/Foreign Region of Residence 1 Year Ago","County of Residence 1 Year Ago","County of Residence 1 Year Ago_Population 1 Year and Over_Estimate","County of Residence 1 Year Ago_Population 1 Year and Over_MOE","County of Residence 1 Year Ago_Nonmovers_Estimate","County of Residence 1 Year Ago_Nonmovers_MOE","County of Residence 1 Year Ago_Movers within United States or Puerto Rico2_Estimate","County of Residence 1 Year Ago_Movers within United States or Puerto Rico2_MOE","County of Residence 1 Year Ago_Movers within Same County_Estimate","County of Residence 1 Year Ago_Movers within Same County_MOE","County of Residence 1 Year Ago_Movers to Different County, Same State_Estimate","County of Residence 1 Year Ago_Movers to Different County, Same State_MOE","County of Residence 1 Year Ago_Movers to Different State_Estimate","County of Residence 1 Year Ago_Movers to Different State_MOE","County of Residence 1 Year Ago_Movers to Puerto Rico_Estimate","County of Residence 1 Year Ago_Movers to Puerto Rico_MOE","Movers in County-to-County Flow_Estimate","Movers in County-to-County Flow_MOE"
"1","016","001","002","020","Idaho","Ada County",465697,500,389580,3821,74514,3734,43163,2754,9224,1161,22127,2062,1603,456,"Alaska","Anchorage Municipality",294428,3095,234127,3093,60301,3259,34184,2400,6801,853,19316,1688,NA,NA,261,242
"2","016","001","002","063","Idaho","Ada County",465697,500,389580,3821,74514,3734,43163,2754,9224,1161,22127,2062,1603,456,"Alaska","Chugach Census Area",6746,497,5775,289,971,364,100,65,429,285,442,201,NA,NA,52,36
"3","016","001","002","110","Idaho","Ada County",465697,500,389580,3821,74514,3734,43163,2754,9224,1161,22127,2062,1603,456,"Alaska","Juneau City and Borough",31984,684,26542,709,5442,832,3073,670,822,396,1547,457,NA,NA,27,44
"4","016","001","002","122","Idaho","Ada County",465697,500,389580,3821,74514,3734,43163,2754,9224,1161,22127,2062,1603,456,"Alaska","Kenai Peninsula Borough",58061,983,49513,764,8548,1068,5027,712,1363,671,2158,413,NA,NA,26,43
"5","016","001","002","170","Idaho","Ada County",465697,500,389580,3821,74514,3734,43163,2754,9224,1161,22127,2062,1603,456,"Alaska","Matanuska-Susitna Borough",104072,1481,89456,1094,14616,1313,8216,874,2806,687,3594,705,NA,NA,33,54
"6","016","001","004","001","Idaho","Ada County",465697,500,389580,3821,74514,3734,43163,2754,9224,1161,22127,2062,1603,456,"Arizona","Apache County",74511,1013,66818,656,7693,1041,1828,374,4067,813,1798,517,NA,NA,26,33
"7","016","001","004","003","Idaho","Ada County",465697,500,389580,3821,74514,3734,43163,2754,9224,1161,22127,2062,1603,456,"Arizona","Cochise County",124191,1503,105084,1429,19107,1489,7720,975,4561,750,6826,856,NA,NA,1,2
"8","016","001","004","005","Idaho","Ada County",465697,500,389580,3821,74514,3734,43163,2754,9224,1161,22127,2062,1603,456,"Arizona","Coconino County",133828,1906,106539,2025,27289,2460,14306,1754,7331,948,5652,793,NA,NA,43,48
"9","016","001","004","013","Idaho","Ada County",465697,500,389580,3821,74514,3734,43163,2754,9224,1161,22127,2062,1603,456,"Arizona","Maricopa County",4294816,7863,3637569,12791,657176,11666,508750,10297,47928,2845,100498,4438,71,58,531,341
"10","016","001","004","017","Idaho","Ada County",465697,500,389580,3821,74514,3734,43163,2754,9224,1161,22127,2062,1603,456,"Arizona","Navajo County",108298,1156,94451,1352,13847,1404,7518,1204,4590,700,1739,380,NA,NA,10,18
"11","016","001","004","019","Idaho","Ada County",465697,500,389580,3821,74514,3734,43163,2754,9224,1161,22127,2062,1603,456,"Arizona","Pima County",1004433,3405,830937,5139,173419,5085,128481,4393,15987,1432,28951,2208,77,101,4,10
